n,T,times_cpp_ns,times_jl_ns,times_jl_threaded_ns,times_jl_array_ns
8,100,10420.0,2262.1111111111113,7555.0,5712.666666666667
16,100,22614.0,4501.428571428572,8226.0,6642.8
32,100,55306.0,8797.0,8627.0,8777.0
64,100,131252.0,17574.0,8476.0,13656.0
128,100,268656.0,36019.0,10740.0,23966.0
256,100,541329.0,71958.0,15410.0,44295.0
512,100,1.09455e6,145690.0,24998.0,85124.0
1024,100,2.19384e6,293543.0,44495.0,166710.0
2048,100,4.39488e6,588530.0,84793.0,334993.0
4096,100,8.82755e6,1.180196e6,160548.0,672922.0
8192,100,1.76568e7,2.384429e6,313752.0,1.355041e6
16384,100,3.53939e7,4.747345e6,624940.0,2.705174e6
